year,month,id_region,cliente,division,bl,mercancia,recorrido,importe_transaccion,cantidad_mercancia,kg_c02,arboles,precio_unitario,rendimiento,rendimiento_real,kg_c02_por_recorrido,year_month
2023,1,1000,02125-031,DAI,IGWC,MAGNA,179,739.552449,32.78462585,79.37157918,5.291438612,22.55790419,14.0,9.94,0.443416643,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,361,1385.162449,61.35462585,148.5395492,9.902636612,22.57633275,14.0,7.75,0.411466895,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,255,759.932449,34.78462585,84.21357918,5.614238612,21.84679094,14.0,12.75,0.33024933,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,469,1328.462449,60.77462585,147.1353692,9.809024612,21.85883385,14.0,10.2,0.313721469,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,378,2155.492449,96.59462585,233.8555892,15.59037261,22.31482787,14.0,4.62,0.61866558,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,98,854.232449,37.69462585,91.25868918,6.083912612,22.66191611,7.0,4.28,0.931211114,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,778,1840.022449,82.07462585,198.7026692,13.24684461,22.41889536,7.0,11.56,0.255401888,2023_1
2023,1,1000,02125-031,DAI,IGWC,BP REGULAR,207,673.072449,29.65462585,71.79384918,4.786256612,22.69704741,7.0,13.92,0.346830189,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,430,2090.532449,94.38462585,228.5051792,15.23367861,22.1490781,14.0,5.4,0.531407393,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,211,1851.412449,86.78462585,210.1055792,14.00703861,21.33341512,14.0,2.93,0.995761039,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,300,936.122449,41.76462585,101.1121592,6.740810612,22.41424243,14.0,11.12,0.337040531,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,200,2781.252449,124.7946259,302.1277892,20.14185261,22.28663638,7.0,1.82,1.510638946,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,184,900.952449,38.86462585,94.09125918,6.272750612,23.18181198,14.0,7.64,0.511365539,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,523,2081.652449,92.91462585,224.9463092,14.99642061,22.40392651,7.0,6.69,0.430107666,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,209,1297.262449,57.72462585,139.7513192,9.316754612,22.47329333,14.0,4.87,0.668666599,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,413,1947.732449,86.42462585,209.2340192,13.94893461,22.53677618,7.0,5.76,0.506619901,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,622,1590.042449,70.48462585,170.6432792,11.37621861,22.55871305,7.0,11.17,0.274346108,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,504,2114.432449,102.2746259,247.6068692,16.50712461,20.67406682,7.0,5.76,0.491283471,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,201,1834.622449,85.98462585,208.1687792,13.87791861,21.33663351,14.0,2.82,1.035665568,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,50,1298.182449,59.78462585,144.7385792,9.649238612,21.7143192,14.0,1.11,2.894771584,2023_1
